AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_SEQ_ID,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC_SEQ_ID2,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,UTC_LOCAL_TIME_VARIATION,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1313901,13139,LYH,Lynchburg Regional/Preston Glenn Field,"Lynchburg, VA",3801,38,United States,US,Virginia,VA,51.0,3313901,33139,"Lynchburg, VA",3801,38,37.0,N,19.0,37.0,37.32694444,79.0,W,12.0,4.0,-79.20111111,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1315801,13158,MAF,Midland Regional Air Trml,"Midland/Odessa, TX",7401,74,United States,US,Texas,TX,48.0,3315801,33158,"Midland/Odessa, TX",7401,74,31.0,N,56.0,27.0,31.94083333,102.0,W,12.0,5.0,-102.20138889,-600.0,1/1/1950 12:00:00 AM,12/31/1992 12:00:00 AM,0,0
1318401,13184,MBS,Tri City,"Saginaw/Bay City/Midland, MI",4301,43,United States,US,Michigan,MI,26.0,3318401,33184,"Saginaw/Bay City/Midland, MI",4301,43,43.0,N,31.0,54.0,43.53166667,84.0,W,4.0,54.0,-84.08166667,-500.0,1/1/1950 12:00:00 AM,6/30/1984 12:00:00 AM,0,0
1319801,13198,MCI,Kansas City International,"Kansas City, MO",6401,64,United States,US,Missouri,MO,29.0,3319801,33198,"Kansas City, MO",6401,64,39.0,N,17.0,51.0,39.2975,94.0,W,42.0,50.0,-94.71388889,-600.0,1/1/1950 12:00:00 AM,,0,1
1320401,13204,MCO,Orlando International,"Orlando, FL",3301,33,United States,US,Florida,FL,12.0,3145401,31454,"Orlando, FL",3301,33,28.0,N,25.0,54.0,28.43166667,81.0,W,19.0,29.0,-81.32472222,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1321101,13211,MCW,Mason City Municipal,"Mason City, IA",6101,61,United States,US,Iowa,IA,19.0,3321101,33211,"Mason City, IA",6101,61,43.0,N,9.0,25.0,43.15694444,93.0,W,19.0,46.0,-93.32944444,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1323001,13230,MDT,Harrisburg International,"Harrisburg, PA",2301,23,United States,US,Pennsylvania,PA,42.0,3207001,32070,"Harrisburg, PA",2301,23,40.0,N,11.0,35.0,40.19305556,76.0,W,45.0,44.0,-76.76222222,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1323201,13232,MDW,Chicago Midway International,"Chicago, IL",4101,41,United States,US,Illinois,IL,17.0,3097701,30977,"Chicago, IL",4101,41,41.0,N,47.0,6.0,41.785,87.0,W,45.0,7.0,-87.75194444,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1324101,13241,MEI,Key Field,"Meridian, MS",5301,53,United States,US,Mississippi,MS,28.0,3324101,33241,"Meridian, MS",5301,53,32.0,N,20.0,14.0,32.33722222,88.0,W,44.0,57.0,-88.74916667,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1324401,13244,MEM,Memphis International,"Memphis, TN",5401,54,United States,US,Tennessee,TN,47.0,3324401,33244,"Memphis, TN",5401,54,35.0,N,2.0,59.0,35.04972222,89.0,W,58.0,43.0,-89.97861111,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
